15-02-2015,Crucero del Norte,  Tigre
15-02-2015,Racing,  Rosario Central
15-02-2015,Boca Juniors ,  Olimpo 
15-02-2015,Banfield,  Temperley
15-02-2015,Argentinos Juniors,  Atlético de Rafaela
15-02-2015,San Lorenzo,  Colón
15-02-2015,Gimnasia y Esgrima (LP),  Defensa y Justicia
15-02-2015,Godoy Cruz,  San Martín (SJ)
15-02-2015,Arsenal,  Estudiantes
15-02-2015,Unión,  Huracán
15-02-2015,Belgrano,  Nueva Chicago
15-02-2015,Quilmes,  Lanús
15-02-2015,Sarmiento,  River Plate
15-02-2015,Newell's Old Boys,  Independiente
15-02-2015,Vélez Sarsfield,  Aldosivi
22-02-2015,Vélez Sarsfield,  Crucero del Norte
22-02-2015,Aldosivi,  Newell's Old Boys
22-02-2015,Independiente,  Sarmiento
22-02-2015,River Plate,  Quilmes
22-02-2015,Lanús,  Belgrano
22-02-2015,Nueva Chicago,  Unión
22-02-2015,Huracán,  Arsenal
22-02-2015,Estudiantes,  Godoy Cruz
22-02-2015,San Martín (SJ),  Gimnasia y Esgrima (LP)
22-02-2015,Defensa y Justicia,  San Lorenzo
22-02-2015,Colón,  Argentinos Juniors
22-02-2015,Atlético de Rafaela,  Banfield
22-02-2015,Temperley,  Boca Juniors
22-02-2015,Olimpo ,  Racing
22-02-2015,Rosario Central,  Tigre
01-03-2015,Crucero del Norte,  Rosario Central
01-03-2015,Tigre,  Olimpo 
01-03-2015,Racing,  Temperley
01-03-2015,Boca Juniors,  Atlético de Rafaela
01-03-2015,Banfield,  Colón
01-03-2015,Argentinos Juniors,  Defensa y Justicia
01-03-2015,San Lorenzo,  San Martín (SJ)
01-03-2015,Gimnasia y Esgrima (LP),  Estudiantes
01-03-2015,Godoy Cruz,  Huracán
01-03-2015,Arsenal,  Nueva Chicago
01-03-2015,Unión,  Lanús
01-03-2015,Belgrano,  River Plate
01-03-2015,Quilmes,  Independiente
01-03-2015,Sarmiento,  Aldosivi
01-03-2015,Newell's Old Boys,  Vélez Sarsfield
08-03-2015,Newell's Old Boys,  Crucero del Norte
08-03-2015,Vélez Sarsfield,  Sarmiento
08-03-2015,Aldosivi,  Quilmes
08-03-2015,Independiente,  Belgrano
08-03-2015,River Plate,  Unión
08-03-2015,Lanús,  Arsenal
08-03-2015,Nueva Chicago,  Godoy Cruz
08-03-2015,Huracán,  Gimnasia y Esgrima (LP)
08-03-2015,Estudiantes,  San Lorenzo
08-03-2015,San Martín (SJ),  Argentinos Juniors
08-03-2015,Defensa y Justicia,  Banfield
08-03-2015,Colón,  Boca Juniors
08-03-2015,Atlético de Rafaela,  Racing
08-03-2015,Temperley,  Tigre
08-03-2015,Olimpo ,  Rosario Central
15-03-2015,Crucero del Norte,  Olimpo 
15-03-2015,Rosario Central,  Temperley
15-03-2015,Tigre,  Atlético de Rafaela
15-03-2015,Racing,  Colón
15-03-2015,Boca Juniors,  Defensa y Justicia
15-03-2015,Banfield,  San Martín (SJ)
15-03-2015,Argentinos Juniors,  Estudiantes
15-03-2015,San Lorenzo,  Huracán
15-03-2015,Gimnasia y Esgrima (LP),  Nueva Chicago
15-03-2015,Godoy Cruz,  Lanús
15-03-2015,Arsenal,  River Plate
15-03-2015,Unión,  Independiente
15-03-2015,Belgrano,  Aldosivi
15-03-2015,Quilmes,  Vélez Sarsfield
15-03-2015,Sarmiento,  Newell's Old Boys
22-03-2015,Sarmiento,  Crucero del Norte
22-03-2015,Newell's Old Boys,  Quilmes
22-03-2015,Vélez Sarsfield,  Belgrano
22-03-2015,Aldosivi,  Unión
22-03-2015,Independiente,  Arsenal
22-03-2015,River Plate,  Godoy Cruz
22-03-2015,Lanús,  Gimnasia y Esgrima (LP)
22-03-2015,Nueva Chicago,  San Lorenzo
22-03-2015,Huracán,  Argentinos Juniors
22-03-2015,Estudiantes,  Banfield
22-03-2015,San Martín (SJ),  Boca Juniors
22-03-2015,Defensa y Justicia,  Racing
22-03-2015,Colón,  Tigre
22-03-2015,Atlético de Rafaela,  Rosario Central
22-03-2015,Temperley,  Olimpo 
29-03-2015,Crucero del Norte,  Temperley
29-03-2015,Olimpo ,  Atlético de Rafaela
29-03-2015,Rosario Central,  Colón
29-03-2015,Tigre,  Defensa y Justicia
29-03-2015,Racing,  San Martín (SJ)
29-03-2015,Boca Juniors,  Estudiantes
29-03-2015,Banfield,  Huracán
29-03-2015,Argentinos Juniors,  Nueva Chicago
29-03-2015,San Lorenzo,  Lanús
29-03-2015,Gimnasia y Esgrima (LP),  River Plate
29-03-2015,Godoy Cruz,  Independiente
29-03-2015,Arsenal,  Aldosivi
29-03-2015,Unión,  Vélez Sarsfield
29-03-2015,Belgrano,  Newell's Old Boys
29-03-2015,Quilmes,  Sarmiento
05-04-2015,Quilmes,  Crucero del Norte
05-04-2015,Sarmiento,  Belgrano
05-04-2015,Newell's Old Boys,  Unión
05-04-2015,Vélez Sarsfield,  Arsenal
05-04-2015,Aldosivi,  Godoy Cruz
05-04-2015,Independiente,  Gimnasia y Esgrima (LP)
05-04-2015,River Plate,  San Lorenzo
